timestamp_us,magX_uT,magY_uT,magZ_uT
1759625796,-29.9,2.845,18.394
1759632796,-35.09,5.458,21.222
1759639796,-27.373,4.618,16.317
1759646797,-30.221,4.542,9.28
1759653796,-32.322,1.878,12.624
1759660796,-31.832,3.963,8.803
1759667796,-25.726,3.172,14.286
1759674796,-28.187,1.194,22.431
1759681797,-27.898,5.543,11.511
1759688796,-37.972,8.435,16.429
1759695796,-30.738,2.145,15.126
1759702796,-29.153,7.206,6.203
1759709796,-30.343,9.478,28.95
1759716796,-32.149,2.922,10.588
1759723796,-30.259,-0.906,12.623
1759730796,-25.93,5.915,18.306
1759737796,-28.393,1.842,15.854
1759744796,-34.738,5.206,16.922
1759751796,-30.624,-2.127,17.95
1759758796,-34.051,5.276,9.58
1759765796,-37.425,3.277,20.014
1759772796,-25.54,1.734,11.517
1759779796,-34.784,-0.582,9.903
1759786796,-26.796,-0.519,17.626
1759793796,-28.578,3.972,7.492
1759800796,-27.567,0.629,20.153
1759807796,-28.777,12.767,21.563
1759814796,-32.099,11.057,17.077
1759821796,-31.406,6.003,9.787
1759828796,-24.893,4.705,6.926
1759836059,-28.626,4.67,11.025
1759844009,-31.711,2.626,10.837
1759851943,-27.615,3.044,12.544
1759860935,-27.948,5.068,15.309
1759869223,-28.827,0.53,15.368
1759876804,-36.476,4.203,14.934
1759883796,-29.613,9.097,7.454
1759890796,-29.927,2.386,20.421
1759897796,-35.957,6.203,19.963
1759904796,-28.917,8.043,10.489
1759911796,-33.492,1.445,12.139
1759918796,-29.126,5.069,15.326
1759925796,-27.772,6.407,13.018
1759932796,-27.578,0.141,10.045
1759939796,-31.711,7.356,21.407
1759946796,-27.216,3.705,4.695
1759953796,-30.353,7.818,18.855
1759960796,-30.686,1.156,11.343
1759967796,-30.074,2.825,20.419
1759974881,-29.105,1.86,14.095
1759986796,-27.436,6.331,20.851
1759993796,-32.061,1.121,15.156
1760000796,-33.513,5.093,13.366
1760007796,-29.886,3.001,17.381
1760014796,-35.601,-0.639,15.983
1760021796,-24.142,4.464,16.778
1760028796,-28.361,11.283,23.594
1760035796,-36.351,5.317,5.567
1760042796,-33.154,5.913,19.42
1760049796,-32.642,4.539,25.242
1760056796,-31.329,4.195,15.114
1760063796,-37.085,3.204,27.594
1760070796,-31.04,7.895,26.196
1760077796,-26.728,6.123,11.994
1760084796,-35.057,3.431,18.967
1760091796,-29.807,8.624,11.001
1760098797,-30.945,7.67,19.118
1760105796,-27.93,0.393,14.346
1760112796,-32.838,4.463,17.914
1760119796,-24.082,5.093,12.22
1760126796,-29.634,7.512,20.112
1760133796,-30.552,3.491,12.076
1760140796,-37.447,7.657,21.233
1760147796,-26.475,1.51,4.454
1760154796,-32.568,4.403,8.809
1760161796,-30.834,2.328,11.334
1760168796,-39.189,1.522,20.057
1760175796,-27.945,5.363,15.053
1760182796,-30.998,4.807,12.322
1760189796,-29.935,3.845,20.912
1760196796,-24.46,3.234,7.694
1760204796,-34.921,10.309,19.147
1760211796,-27.464,9.2,11.721
1760218796,-25.58,7.713,13.984
1760225796,-28.185,5.255,11.013
1760232796,-30.369,6.488,20.133
1760239796,-33.008,-2.732,20.265
1760246796,-31.249,7.37,19.884
1760253796,-28.457,9.96,8.946
1760260796,-27.357,9.171,14.753
1760267796,-34.674,2.908,12.394
1760274796,-26.165,7.862,13.738
1760281796,-25.242,2.657,22.121
1760288796,-34.778,6.455,8.819
1760295796,-32.875,4.29,20.697
1760302796,-30.262,1.144,12.602
1760309796,-31.673,3.573,18.917
1760316796,-27.168,4.22,12.02
1760323796,-30.64,5.877,7.502
1760330796,-37.307,4.868,22.018
1760337796,-29.83,3.92,13.073
1760344796,-29.224,3.346,11.806
1760351796,-34.533,4.808,12.625
1760358796,-30.493,9.54,7.21
1760365796,-33.739,4.702,8.317
1760372796,-32.197,8.853,2.69
1760379930,-27.232,10.328,16.256
1760389350,-22.589,-1.591,22.127
1760397255,-33.097,3.755,15.396
1760405156,-33.82,4.351,14.389
1760413068,-25.065,8.644,8.405
1760420804,-34.156,7.211,6.275
1760427796,-28.834,1.111,15.868
1760434796,-31.123,0.909,21.971
1760441796,-29.885,8.129,16.822
1760448796,-30.549,3.933,11.819
1760455796,-34.534,4.116,23.756
1760462796,-28.273,8.123,17.305
1760469796,-29.468,2.398,19.151
1760476796,-30.476,5.597,6.239
1760483796,-26.522,2.251,18.857
1760490796,-30.51,0.632,20.195
1760497796,-25.849,1.472,23.659
1760504796,-27.532,6.661,17.057
1760511796,-32.157,7.458,10.794
1760518796,-26.808,6.318,6.937
1760525796,-34.454,2.122,17.961
1760532796,-29.751,7.827,17.835
1760539797,-29.512,1.781,22.444
1760546796,-29.165,2.509,7.516
1760553796,-26.18,7.81,3.879
1760560796,-35.242,6.627,21.465
1760567796,-35.594,5.373,14.91
1760574796,-32.98,-0.075,17.962
1760581796,-32.738,4.136,21.455
1760588796,-32.25,8.71,17.609
1760595796,-35.729,3.477,14.173
1760602796,-27.781,5.228,13.788
1760609796,-31.286,5.105,11.817
1760616796,-28.325,4.821,10.514
1760623796,-28.514,11.824,12.973
1760630796,-28.364,2.889,13.568
1760637796,-32.365,6.829,15.354
1760644796,-28.842,3.848,5.222
1760651796,-35.871,5.678,13.646
1760658796,-24.861,4.623,15.523
1760665796,-34.09,7.927,23.205
1760672796,-33.27,10.289,5.725
1760679796,-29.953,0.128,11.596
1760686796,-30.36,7.813,19.361
1760693796,-32.626,0.846,13.397
1760700796,-29.516,4.959,11.541
1760707796,-29.311,-0.379,18.671
1760714796,-27.3,2.619,11.027
1760721796,-25.619,6.219,17.034
1760728796,-27.008,6.321,21.856
1760735796,-27.186,2.009,13.56
1760742796,-29.25,-2.638,25.267
1760749796,-36.463,5.091,13.914
1760756796,-26.911,8.148,14.504
1760763796,-25.446,3.747,15.287
1760770796,-28.646,4.217,12.547
1760777796,-30.767,4.175,17.128
1760784796,-30.631,4.126,7.014
1760791796,-31.195,3.892,16.126
1760798796,-29.136,5.647,16.079
1760805796,-28.959,9.624,13.507
1760812796,-30.291,0.39,14.885
1760819796,-32.914,1.73,12.886
1760826796,-28.824,4.927,14.818
1760833796,-33.733,6.36,18.665
1760840796,-28.407,0.912,6.004
1760847796,-28.231,6.542,14.287
1760854796,-33.833,3.463,15.41
1760861796,-25.828,5.987,10.719
1760868797,-30.339,3.872,18.137
1760875796,-31.062,4.761,17.127
